"key","message","comment","context"
"Accepted","Accepté",,
"Address","Adresse",,
"Addresses","Adresses",,
"Apply taxes","Appliquer les taxes",,
"Cancelled","Annulé",,
"City","Ville",,
"Code",,,
"Configuration",,,
"Contact",,,
"Contacts",,,
"Countries","Pays",,
"Country","Pays",,
"Date of birth","Date de naissance",,
"Draft","Brouillon",,
"Email",,,
"End Date","Date fin",,
"Event","Évènement",,
"Events","Évènements",,
"Family Members","Membres de famille",,
"Finished","Fini",,
"First name","Prénom",,
"Full name","Nom complet",,
"Last name","Nom",,
"Meeting","Rendez-vous",,
"Missing contact","Rendez-vous",,
"N* / Street","Numéro de voie",,
"Name","Nom",,
"Notes",,,
"Other","Autre",,
"Other informations","Autres informations",,
"Phone call","Appel téléphonique",,
"Phone number","Téléphone",,
"Planned for","Planifié pour",,
"Postponed","Reporté",,
"Profile","Profile",,
"Profile picture","Photo de profile",,
"Proposed","Proposé",,
"Record created",,,
"Refused","Refusé",,
"Related sale order details","Détails de commande liés",,
"Start Date","Détails de commande liés",,
"Status","Statut",,
"Title","Titre",,
"Titles","Titles",,
"Type",,,
"UserAddress",,,
"Zip","Code postal",,
"mainPanel",,,
