"key","message","comment","context"
"Amount invoiced per month over 3 months","Montant facturé sur trois mois",,
"Dashboard","Tableau de bord",,
"Dashboards","Tableaux de bord",,
"Home Dashboard","Accueil",,
"Home Dashboards",,,
"Last month sales per product category","Vente du dernier mois par catégorie de produit",,
"Product Category",,,
"Status","Statut",,
"Total Sales (Excluding Tax)",,,
"Turnover per customer","Chiffres d'affaire par client",,
"Upcoming events",,,
"Upcomming events","Évènements à venir",,
