"key","message","comment","context"
"Actions",,,
"Cancel",,,
"Cancel inovices",,,
"Cancelled","Annulée",,
"Customer","Client",,
"Data",,,
"Dates",,,
"Description",,,
"Do you really want to cancel the selected invoice(s)?",,,
"Draft","Brouillon",,
"Invoice","Facture",,
"Invoice date","Date de facturation",,
"Invoice line","Ligne de facture",,
"Invoice lines","Lignes de facture",,
"Invoices","Factures",,
"Invoices lines","Lignes de facture",,
"Merge",,,
"Merge into single invoice",,,
"Merge invoices",,,
"Overview",,,
"Please select at least one invoice",,,
"Prices","Prix",,
"Product","Produit",,
"Quantity","Quantité",,
"Sale order","Commande de vente",,
"Sale order line",,,
"Sequence","Séquence",,
"Status","Statut",,
"Tax rate","Taux de taxe",,
"Total price with tax","TTC",,
"Total price without tax","HT",,
"Total with tax","TTC",,
"Total without tax","HT",,
"Unit price untaxed","Prix unitaire HT",,
"Validate","Valider",,
"Validated","Validée",,
"Ventilate","Ventiler",,
"Ventilated","Ventilée",,
"Ventilated invoices will be not cancelled!",,,
"You have to choose at least two invoices",,,
